Double Returns,0,1,2,3,4,5,6,7,8,9
0,-78,-1992,-320,-732,-211,-169,-180,-461,-211,-460
1,-112,-2497,-300,-139,-217,-215,-485,-352,-162,-412
2,-180,-1249,-1086,-371,-282,-220,-761,-141,-382,-137
3,-66,-2416,-856,-432,-356,-248,-574,-88,-960,-153
4,-1039,-1491,-168,-837,-163,-421,-84,-650,-248,-119
5,-63,-168,-2638,-294,-346,-333,-216,-490,-136,-329
6,-67,-2434,-132,-329,-205,-163,-170,-200,-186,-231
7,-575,-2305,-563,-113,-447,-259,-274,-235,-371,-196
8,-78,-2849,-448,-278,-381,-390,-197,-261,-379,-507
9,-464,-2208,-85,-566,-244,-230,-110,-172,-747,-330
Mean,-272.2,-1960.9,-659.6,-409.1,-285.2,-264.8,-305.1,-305.0,-378.2,-287.4
Std. Dev.,308.9400589111098,750.3061308559327,726.8700296476667,226.1497070526513,87.91791626284144,83.83292909113936,213.0631127154581,170.09703113223347,257.25932441798875,133.29005964437107
