Single Lengths,0,1,2,3,4,5,6,7,8,9
0,70,897,333,229,308,98,193,297,219,375
1,103,1085,199,112,388,147,187,183,288,124
2,218,791,310,232,358,379,158,259,273,271
3,105,423,646,295,286,389,321,180,252,158
4,76,934,384,275,225,147,439,35,330,224
5,1009,260,284,264,329,297,154,295,144,285
6,86,983,129,310,170,238,121,214,242,235
7,56,893,399,179,355,305,262,128,242,121
8,943,299,331,160,269,251,374,178,289,70
9,77,874,267,285,431,284,214,220,256,133
Mean,274.3,743.9,328.2,234.1,311.9,253.5,242.3,198.9,253.5,199.6
Std. Dev.,353.72589670534444,284.524673798249,130.9799984730493,61.7194458821529,73.80033875261007,93.11095531676173,99.25930686842418,74.88718181371227,47.049442079582626,89.3646462534262
