Double Lengths,0,1,2,3,4,5,6,7,8,9
0,7,13,6,3,10,22,32,18,27,7
1,4,17,4,28,3,5,28,15,19,8
2,13,17,8,9,5,8,14,4,4,17
3,35,13,17,12,15,47,11,18,11,11
4,6,25,14,17,16,32,5,21,10,6
5,4,19,55,12,9,26,14,5,6,9
6,39,26,7,18,9,4,18,21,7,24
7,4,6,51,4,14,18,14,28,54,15
8,19,12,8,12,9,3,31,16,3,17
9,9,3,25,9,23,4,13,24,11,4
Mean,14.0,15.1,19.5,12.4,11.3,16.9,18.0,17.0,15.2,11.8
Std. Dev.,12.36931687685298,6.977822009767804,17.783419243778738,6.916646586316234,5.532630477449221,14.109925584495477,8.694826047713663,7.224956747275377,14.654692081377895,5.946427498927402
