Double Lengths,0,1,2,3,4,5,6,7,8,9
0,10,190,176,33,200,39,94,12,157,97
1,200,200,200,77,41,93,200,200,16,117
2,200,37,37,39,46,53,46,200,200,24
3,50,65,12,30,200,41,101,134,51,25
4,114,31,21,200,144,200,23,23,79,18
5,88,200,27,84,200,200,64,28,79,22
6,83,63,200,69,52,122,200,86,200,135
7,130,86,34,36,10,109,43,75,35,40
8,131,51,38,47,50,200,135,200,185,87
9,128,14,150,38,178,45,13,20,189,54
Mean,113.4,93.7,89.5,65.3,112.1,110.2,91.9,97.8,119.1,61.9
Std. Dev.,56.63779656731006,70.01435567081938,76.58753162232087,48.54286765324025,74.7374738668628,64.8148131216931,64.47084612443054,75.62116105958701,70.22172028653243,41.35323445632759
