Single Lengths,0,1,2,3,4,5,6,7,8,9
0,68,92,67,150,200,84,65,50,25,200
1,26,200,200,43,83,200,200,187,29,58
2,146,23,88,81,200,200,200,200,126,46
3,141,70,107,200,135,156,141,200,125,133
4,106,62,200,152,74,186,69,48,183,51
5,200,121,200,88,168,166,68,85,141,51
6,46,33,125,33,50,96,101,124,200,200
7,200,200,51,200,117,101,34,96,59,22
8,95,54,200,144,64,74,200,58,138,89
9,173,167,121,65,50,70,200,121,190,200
Mean,120.1,102.2,135.9,115.6,114.1,133.3,127.8,116.9,121.6,105.0
Std. Dev.,58.7902202751444,63.105942667866074,56.44546040205537,58.4588744332287,56.04542800264799,50.643953242218366,64.43570438817288,57.39242110244174,60.90681406870663,68.20996994574914
