Double Lengths,0,1,2,3,4,5,6,7,8,9
0,200,200,200,200,188,200,200,200,200,139
1,200,200,200,200,200,200,200,200,200,200
2,200,200,200,200,200,200,200,200,134,176
3,200,200,80,200,200,200,200,200,200,200
4,200,200,200,200,200,200,200,200,200,168
5,200,200,200,200,200,200,200,54,157,200
6,200,200,200,200,200,194,200,200,200,189
7,200,174,200,200,200,200,200,200,200,200
8,200,200,200,200,200,110,200,200,200,200
9,200,189,176,200,200,200,200,200,200,200
Mean,200.0,196.3,185.6,200.0,198.8,190.4,200.0,185.4,189.1,187.2
Std. Dev.,0.0,8.12465383877984,35.91991091302984,0.0,3.5999999999999996,26.85963514271927,0.0,43.8,22.398437445500523,19.50282030886815
