Single Lengths,0,1,2,3,4,5,6,7,8,9
0,200,200,200,200,200,200,200,200,200,200
1,200,200,200,200,200,200,200,200,200,200
2,200,200,200,200,200,200,200,200,200,200
3,200,200,200,119,200,200,162,200,200,200
4,200,200,200,200,200,200,200,200,200,200
5,200,200,200,193,200,200,200,200,200,200
6,200,200,200,200,200,200,200,200,200,200
7,200,200,200,151,200,200,200,192,200,200
8,200,200,200,200,200,200,200,200,200,200
9,200,200,200,200,200,200,200,200,200,200
Mean,200.0,200.0,200.0,186.3,200.0,200.0,196.2,199.2,200.0,200.0
Std. Dev.,0.0,0.0,0.0,26.709736052608232,0.0,0.0,11.399999999999999,2.4,0.0,0.0
