Single Returns,0,1,2,3,4,5,6,7,8,9
0,-488,-614,-587,-551,-560,-506,-407,-506,-542,-578
1,-542,-425,-515,-587,-569,-515,-371,-578,-407,-542
2,-569,-506,-569,-542,-632,-389,-371,-542,-497,-488
3,-560,-542,-533,-242,-542,-569,-348,-578,-416,-542
4,-506,-515,-596,-587,-569,-488,-344,-506,-587,-560
5,-533,-551,-578,-478,-578,-551,-605,-407,-470,-416
6,-533,-506,-497,-542,-596,-515,-596,-416,-416,-578
7,-569,-542,-569,-346,-461,-353,-326,-513,-569,-560
8,-596,-524,-578,-596,-533,-326,-416,-560,-596,-308
9,-533,-524,-434,-281,-542,-587,-533,-569,-560,-533
Mean,-542.9,-524.9,-545.6,-475.2,-558.2,-479.9,-431.7,-517.5,-506.0,-510.5
Std. Dev.,30.240535709540598,44.720129695697445,48.332597695551186,127.69400925650349,42.5577255031328,87.02120431251225,100.68967176428772,59.30977996924285,70.8660708661063,81.82084086588209
